file_name,vakyansh_transcription,fine_tuned_whisper_transcription
broken-vad_06_g1vCoK8wf-U-0,ఎక్స్పీరియన్స్ ్ది పీపుల్ ఎవరో చెప్తే కాదు ఇన్వెస్ట్మెంట్ పట్యిపోయింద ఎందుకంటే ఒ డోమెంట్ పలసుం వచ్చిన ట్ లేదు ఒసృద్ధిఒ,ఎక్పీరెన్స్ అప్తు పీపల్ ఎవరో చెప్తే కాదు ఇన్వెస్టమెంట్ పెట్టను అలకి ప్రూవైపోయింది ఎందుకంటే ఒక ఎండోమెంట్ పాల్సులో బెడితే ఇరోవేల క్రమంలో వచ్చిన రేటను పోర్టు పైపాసం లేదు
broken-vad_06_g1vCoK8wf-U-1,దగ్గరగాలేదటిే తక్కువగాఉన్నాయి కానీ ఒక స్థలంగా ఉంటాయి దిూడట్లయిపోయిందిఐదు లక్షలలో ఉంటే పద ్షలయిపోయిందిఅపార్ట్మెంట్  ఉంటేతుందింది ,ఇంటర్లేషన్కు అగ్గరగా లేదా ఇంటర్లేషన్ కట్టే తక్కువగా ఉన్నాయి కానీ ఒక స్థలం ఉంటే మూడ్రెట్ లేప్పింది ఐదు లక్షర్లకు ఉంటే పదహిన లక్షలు లేప్పింది ఒక అపార్ట్మెంట్ ఉంటే
broken-vad_06_xpMl4UJUzC0-0,ఇండియా కేంద్రంగా మైక్రోసాఫ్ట్ చేపట్టే పలు ప్రాజెక్టులకు హైదరాబాద్లో ఏర్పాటు చేయబోయే డేటా సెంటర్లు అత్యంత కీలకంగా మారుతాయని స్పష్టం చేశారు డాటా సెంటర్లతో భవిష్యత్తులో మరిన్ని ప్రాజెక్టుల కోసం తెలంగాణ ప్రభుత్వంతో కలిసి పనిచేసేందుకు ఉన్న అవకాశాలను తమ సంస్థ సానుకూలంగా పరిశీలిస్తుందని ప్రకటించారు ,ఇండియా కేంద్రంగా మైక్రోసాఫ్ట్ చేపట్టే పలు ప్రాజెక్టులకు హైదరాబాద్లో ఏర్పాటు చేయబోయే డేటా సెంటర్లు అత్యంత కీలకంగా మారుతాయని స్పష్టం చేశారు డేటా సెంటర్లతో భవిష్యత్తులో మరిని ప్రాజెక్టుల కోసం తెలింగా ప్రభుత్వంతో కలిసి పనిచేసేందని ప్రకటిం�
broken-vad_07_bDiT5kKKnjY-0,ఇచూడండిది దీని మీద మనకు ఫోమ్ పాట్ అని చెప్పేసి ఇచ్చారు కానీది ఫోన్ పాటు కాదు ఇది ఓన్లీ మనకు సోప్పో డిస్పెన్సర్ అన్మాట దీంతోటి మనకు ఎక్కువ ఫోన్ అయితే రాదు అందుకనే నేను ఎక్స్ట్రా ఒక ఫోన్ క్యాన్ అయితే తెప్పించడం జరిగింది దాన్ని కూడా అిబాక్ చేసి మీకు ఈ వీడియోలోని చూపిస్తా దీంతో కూడా ఎంతవర,దీనిమీద మనకు ఫోమ్ పాటం చేప్పే ఇచ్చారు కని ఫోమ్ పాటు గాదు ఇది ఒకలు సోక్ డిస్పెన్సర్ అనుమాట దీంతోటే మనకు ఎక్కువ ఫోమ్ అయితే రాదు అందికనేనేనే ఎక్స్టా ఒక ఫోమ్ క్యానైతే తెప్పించడింది దానుకూడా అనువక్సేసి మీకు ఇవీలులను చూపిస్తా దీంతోకూడా వరకు
broken-vad_08_62WGmeWoYQ0-6, ,లైందాన్ని అవుట్లా సర్యార్ బాయింటిగాలం మెడియేతాను పోతా సర్ముఖు గేమారుతాం సర్ వద్దురా మరేపారుతామా రాగపోవచిన స్కూల్కి
broken-vad_08_bDiT5kKKnjY-0,మనం ఎక్స్ట్రా పర్చేసతే చేయక్కలేదు దీంతో పాటు మనకు ప్రైవేట్ చేస్తున్నారు దీని లెంత దగ్గర దగ్గర మనకు త్రీ మీటర్స్ వరకు దీని లంతయితే మనకు ఉంటుంది ఇది వటరనమాట ఇది మెన్ గా మనకు కార్చుట్టూ తిరగడానికి సరిపో ంత లంత ఉంటుందఅంటే ఏటి మీటర్స్ వరకు దీని లతయితే మనకు ఉంటుంది బెస్ట్,ఎక్స్ట్రాపర్చేయితే చేయక్క లేదు దీనితోపాటే మనకు ప్రవేట్ చేస్తున్నారు దీని లెంతు దగ్గర మనకు త్రీమీటర్స్ వరకు దీని లెంతైతే మనకు ఉంటుంది ఇది అవటార్పై పనుమాట మెయిన్గా మనకు కారు చుట్టూ తెరగడానికి సరిపై అంతలెంతుంటుందంటే ఏటుమీటర్స్ వరకు దీనింతు
broken-vad_09__5BntK9iyo4-0,ఇది ఎందుకు అంటే కంటి డ్రేనేజ్ ముక్కులో ఉంటుంది ముుదిిల్కు ,ఎందుకు అంటే కంటి డ్రేనేజ్ ముక్కులోకుంటుంది డ్రేనేజ్చు ఈ కంటి మూలకు ముక్కు దిగుతుంది చిన్నపిల్లకు చాలా సన్నాహా వైల్మాధీతుంటుంది అంత సన్నాహా ఉంటుంది
broken-vad_09_g1vCoK8wf-U-1,కి తర్వాత పెట్టఓ నెక్స్ట్ ఎప్పుడైనా స న్వసట్మెంట్ గాన ఏం చెప్తారు దీట్లో ఎంతరీసుకుంది అుగుతారు కదా రస్ికపటిఫర్ గెట్టిగ ఇంటస్మెంట్ ,కాసు నెక్స్ట్ ఎప్పుడైనా సరే ఒక ఇండ్రేస్కు కదా రిస్క్ లేదా అన్నింటి కే పరామీటర్ బిఫోర్ గెట్టింగ్ ఇంట్రు
broken-vad_104_bDiT5kKKnjY-1,బాగానే వచ్చింది ,బాగానే వచ్చింది
broken-vad_10_1D2HGDhR4OE-1,ఎక్కువ శాతం ఉంటుంది నత్సలో అని చెప్పి అది ఎంతవరకు న చెప్తారా అందరికీ మీరట్లు కలిస్టాలు ఉంటుందనే భయంతో చేడు ప క్రుచి ఇష్టమైనప్పటికీ దూరం చేస్తూ ంటార అసలు నది ీరోఅంటే అందులోఉంటుంది  మంచివలో ఉన్నాయి కాబట్టి  ,కోలెస్ట్రాల్ ఎక్కువ ఉంటుంది నాట్స్లో అంచెప్పి అదంతవరకు నిజాపుతారా అందరికీ మీరన్నట్లు కోలెస్ట్రాలు ఉంటుందనే భయంతో జీడిపప్పు యొక్క ఋషి ఇష్టమైనప్పటికీ దూరం చేస్తుంటారు అసలు జీడిపప్పులో కోలెస్ట్రాలు అనేది జీరో అంటీ అందులో కోవుంటుంటుంటుంది
broken-vad_10_WSrcQ5d4eGs-1,సిట్కి మ్యూజిక్ జైకిప్టాకిఫీ నాకు సివిల్్అలా నీకేంటిలేరా ,సెడ్కీ మ్యూజిక్ జేకి ఫిట్రాక్ఫీ నాకు సివల్స్ అలా నీకేంటి
broken-vad_10_Yk7PuNPW7F4-0,దీంట్లో పెట్రోల్ ఇండియం్ తో పాటు రియర్లో బిక్స్ బ్యాటరీస్ వడం వల్ల కార్నిబాటసహాయంతో కొంతవరకు మితా పెట్రోల్సహాయంతోనడడం వల్లబెస్ట్ మ క్లై్ చేస్తుంది దీంట్లో సిక్సింగల్్్ గా ఉంటాయి కారికి కిలోమీటర్ వాట ప్రవేట్ చేస్తుంటే,దీంట్లో పెట్రోల్ ఇంచిందింది పాటు రీర్లో బిక్ సైజ్ బ్యాటీ సెట్టర్ ఇవ్వడం వల్ల కార్ని బ్యాటీ సహాంతో కొంతవరకు మిగతాది పెట్రోల్ సహాంతో నడవడం వల్ల బెస్ట్ మైలైజ్ లైం చేస్తుంది
broken-vad_11_NeOnmz8ziuk-0,లాంగ్గా ఉందియూట్యూబ్లో ్వతఅ ప్ చేసిది క ్డ మా్ ట్టిచ్చ,ప్రజి స్లాంగ్ తప్పుగా లోబాబు అంటే కుంది దాబా ఇచ్చినట్టు ఉంటది కది అభిమానం ఉంటది కది అంటే ఏ ఊర్స్లాంగ్ ఊరిది మంది డిఫరెంట్ కా యూట్యూబ్ కామెంట్ చూస్తున్నారు అర్థమైన స్లాంగ్ ప్రోపరాగా ప్లాన్ చేసింది కదు
broken-vad_11_tm2J-qlbHBY-1,తొడగొట్టడం స్కూల్లో నేర్పిస్తానాక్రికెట్ ,స్కూల్లో నేర్పిస్తారు
broken-vad_13_gcDJWr_Y8cU-21,ఇందాకా లీడ్ లో ఉన్నటువంటి ంటి్ గరిటీ కాబట్టి మేను ఒకసారి రూల్  చేేస్తాను చిరజీవి గారు రూలస్ ఏంటి అంటే మేము కొన్ని క్వ్న్్ అడుగుతా ఆ క్వెశ్చన్స్ కి ఎవరైతే ఎక్కువకూడా ఫాన్స చెప్తాను అని చాలెజ్ చేస్తారో వాళ్ు చెప్పాలి కి లేండిరా వెళ్ని ,ఇందాకా లీడ్లోనేటువంటి పాటి స్పెన్స్ చిరంజీవిగారి టీం కాబట్టి చెనుకసరి రూల్స్ ఎక్ప్లేంచేస్తాను చిరంజీవిగారు రూల్స్ ఏంటి అంటే మేవు కొన్ని క్వెస్టింగ్లు అడుగుతాం ఆ క్వెస్టింగ్లకు ఎవరైతో ఎక్కువ నంపులు చెప్తాను అని చాలంజ్ చేస్తారు
broken-vad_13_gcDJWr_Y8cU-40,లలాస్ట్ రిక్వెస్ట్ ఒక్కసారి మినోట్తో డొట్ స్టాప్ లాఫింగ్ సుమా అడ్డ లోడింగ్ స్టా్ లా్ ా లోడ,మలాస్ట్ రిక్వెస్ట్ ఒక్కసారి మీ నోటి తో డోన్ స్టాప్ లాఫ్ ఇంగ్ సుమార్డా లోడింగ్ లాఫ్ లాఫ్ ఇంగ్ సుమార్డా లోడి
broken-vad_13_vkJs4WLK2WU-0,డెఫినెట్గా అందరికీ భయమది అందరికీ భయపడ్డారు సెకఇట ఏంటంటే అసలు హెల్త్ ఇన్షూన్స్ అనేది ఒకటి ఉండాలి అని చెప్పేసి ఓటి వాళ్ళకి ఆలోచను ్గా వచ్చింది ఎందుకంటే అత ముందువరకు హెల్త్ డబ్బులరావు వేస్ట్ రాబ్ర,డెఫ్నెట్ కాన్నదికి భయమైనంది అందరికీ భయపడ్డారు సెకండ్ ఇంపట్ అంటే ఆసలు హెల్త్ ఇంసన్స్ అనేది ఒకటి ఉండాలి చెప్పేసి ఓటీవాళ్లకి ఆలోచన నిర్మాటకు డెఫ్నెట్ కావచ్చినారు ముందువరకు హెల్త్ పాల్సీలు గడితే డబ్బులను వేస్తున్నాయి
broken-vad_13_vkJs4WLK2WU-1,ఆలోచనే ఉండేది కరెక్ట్ కానీ ఈ సిట్ుయేషన్ లో మాత్రమే అందరికీ ఆలోచన లేదు అవునడి అవునడి అయితే ఆయన నాకు కాల్ చేసారండిఆల్మోస్ట్  టైంలో కాల్ చేశామాట అప్పుడు ఇంకా మ దగ్గర చాలా సిటేషన్ ఇంకా కొస్త జ్లో ఉన్న ఆ టైం లో అంటే ఇప్పుడు మన హాస్పిటల్డి ,ఆలోచనే ఉండేది కానీ ఈ సిస్టివేషన్లో మాత్రమే అందరికీ ఆలోచననేదు అవునండి అయితే ఆయన నాకు కాల్చీసరింది అల్మోస్ట్ జూన్ జూలియా టైమ్లో కాల్చీసరింది ఇంకామం దగ్గర చాలా సిట్యూషిసిన్నేది ఇంకాకుస్తా పీక్ స్టేజీలో ఉందాపు ఆటైమ్లో ఇప్పుడు ఏ హాస్పిటలు మూ�
broken-vad_14__5BntK9iyo4-0,ఈ మొటమెల అనేది డే ఆల తయారు ేసే గ్రందులు ఎక్కువ పెిగిఎక్కువ తయాుేసిిమసుోతే అక్కడే గడడగట్టి మ తయారతభక్ువ,ముటుములు అనేది మన చర్మంలో ఉండే ఆయిల్ తయాజేసే గంధులు ఎక్కువ పెదిగి ఎక్కువ ఆయిల్ తయాజేసి మూతి మూసుకపోతే అక్కడినే గడ్డగడ్డి ముటుములు తయారైతే ఇవి హాల్మోన్స్ ప్లభావం వల్ల ఎక్కువైతాయి
broken-vad_15__5BntK9iyo4-0,మామూలుగా చూస్తూ ఉంటాం నవ్వడం అనేది మొట్టమొదటి పక్ష్ నేర్చుకునేది పిల్లలు మనం చూసి మనంనిి ాళ్నవ్వడం అనేది ఆ నుంచి మమి వా మధ్య మామూలుగా చూస్తూ ఉంటాం ఎప్పుడైతే వాడు ఆ,చూస్తుంటం నవ్వడం అనేది మొట్టమొదటి పర్సనల్ సోషల్ ఇంటర్షన్ నేర్చుకునేది పిల్లలు మనం చూసి మనం నవ్వితే వాళ్ళు నవ్వడం అనేది ఆలు నుంచి ఎమ్మిది భారాల మధ్యన మామూలుగా చూస్తూ ఉంటాందింది
broken-vad_18_4NOLJrZMHOE-0,వెళ్లిపో పోల్స్ తేసుకుంటే నాకు్దనినెక్స్ట్ మంనెక్స్్ డెలివరీకి ఇప్పుడు తీుకుంపంటే  దానికంటూ కొన్నిస్పెసఫిక్ వెయిటింగ్ ్్ ఉంటాయి  దాంట్లో లబ్ హెల్త్ అడ్వన్డేజ్ ఒకటి కేరహెల్త్ జాటుడే అని రెండు పాల్సులు ననాి ఆ రెండల ఏంటంటే నైన్మ,పోల్స్ చేసుకుంటే నా కవరస్తులు  నక్షి మందు నక్షివిక్ అడ్మెంట్ వాళ్లి డెలివరీకి ఇప్పుడు తీసుకుంటుందని కవరైపోతుంది అవుదం దానికంటూ కొన్ని స్పేసివిక్ వెయిటింగ్ పేట్టు ఉంటాయి
broken-vad_19_Yk7PuNPW7F4-0,ఫ్రెట్కన్నారు,ఫ్రెంట్ కెమెరా ప్రొవేడిస్తున్నారు
broken-vad_19_Yk7PuNPW7F4-1,వఆర్విఎం విత్ టన్నింటికేటర్ ,వార్వ్యం విత టర్న్ ఇండికేటర్ బొటంలో కెమెరాలెన్స్ ప్రొవేడ్ చేసినారు విండో క్రోమ్ బెట్ లైన్ పైనరూఫెల్స్ పెనరామిక్సన్ రూఫ్ ఫిరియర్లో షార్క్ ఫినాంటిన స్టాప్లైట్ డిఫాగర్ వైపర్ కంబైండ్ ఎల్ఎడ్ టెయిలాండ్ శరీయర్లో చాలా బ్యూట్ఫులుగా కనిపిస్తాం
broken-vad_19_Yk7PuNPW7F4-2, ,స్థాయి  బ్యాడ్జింగ్ టర్న్ ఇండికేటర్ బ్రేక్లెట్స్ పార్కింగ్ సెన్సర్స్ ప్లేట్స్
broken-vad_19_q_u-4osc610-1,ఎక్స్ చేంజ్ ట్రీడె్ ఫన్స్ ఎక్స్ చంజ్ ట్ీడెట్ ఫన్స్ పనితీరు కూడా ఇండక్స్ ఫన్స్ పనితీరు లాగే ఉంటుంది రెండిటిలో వివిధ సంస్థల్లో వివిధ రంగాల్లో మదుపు చేసే అవకాశం ఉంది కానీ ఈ రెండు ఫన్స్ మధ్య ముఖ్యమైన తేడాలు కొన్ని న్నాయి ఎక్స్ చేం్ ్రీడెట్ ఫన్స్ పనితీరు నిర్దేశించిన,ఎక్స్ఛేంచ్ ట్రీడెడ్ ఫన్స్ ఎక్స్ఛేంచ్ ట్రీడెడ్ ఫన్స్ పనితీరు కూడా ఇండెక్స్ ఫన్స్ పనితీరు లాగే ఉంటుందే రెండింటిలో వివిధ సంస్థల్లో వివిధ రంగాల్లో మదుపు చేసే అవకాశం ఉందే కానీ ఈ రెండు ఫన్స్ మధ్యం ముఖ్యమైన తేడాలు కొన్ని ఉన్నాయి
